"task_id","created_date","status_changed_date","target_date","days_remaining_at_change"
"T92677.112","2020-09-02","2020-09-02","2020-09-08",6
"T92677.111","2020-09-02","2020-09-02","2020-09-08",6
"T92677.110","2020-09-02","2020-09-02","2020-09-08",6
"T92677.109","2020-09-02","2020-09-02","2020-09-08",6
"T92677.108","2020-09-02","2020-09-02","2020-09-08",6
"T92677.102","2020-08-26","2020-08-26","2020-09-01",6
"T92677.97","2020-08-12","2020-08-12","2020-08-18",6
"T92677.96","2020-08-11","2020-08-11","2020-08-17",6
"T92677.95","2020-08-11","2020-08-11","2020-08-17",6
"T92677.94","2020-08-11","2020-08-11","2020-08-17",6
"T92677.90","2020-08-07","2020-08-07","2020-08-13",6
"T92677.86","2020-07-23","2020-07-23","2020-07-29",6
"T92677.85","2020-07-23","2020-07-23","2020-07-29",6
"T92677.83","2020-07-20","2020-07-20","2020-07-26",6
"T92677.78","2020-07-13","2020-07-13","2020-07-19",6
"T92677.77","2020-07-07","2020-07-07","2020-07-13",6
"T92677.73","2020-06-17","2020-06-17","2020-06-23",6
"T92677.72","2020-06-15","2020-06-15","2020-06-21",6
"T92677.71","2020-06-09","2020-06-09","2020-06-25",16
"T92677.69","2020-06-04","2020-06-04","2020-06-10",6
"T92677.68","2020-06-04","2020-06-04","2020-06-10",6
"T92677.67","2020-05-26","2020-05-26","2020-07-11",46
"T92677.66","2020-05-22","2020-05-22","2020-07-23",62
"T92677.64","2020-05-22","2020-05-22","2020-05-28",6
"T92677.63","2020-05-22","2020-05-22","2020-06-11",20
"T92677.62","2020-05-22","2020-05-22","2020-07-02",41
"T92677.112","2020-09-02","2020-09-02","2020-09-08",6
"T92677.111","2020-09-02","2020-09-02","2020-09-08",6
"T92677.110","2020-09-02","2020-09-02","2020-09-08",6
"T92677.109","2020-09-02","2020-09-02","2020-09-08",6
"T92677.108","2020-09-02","2020-09-02","2020-09-08",6
"T92677.102","2020-08-26","2020-08-26","2020-09-01",6
"T92677.97","2020-08-12","2020-08-12","2020-08-18",6
"T92677.96","2020-08-11","2020-08-11","2020-08-17",6
"T92677.95","2020-08-11","2020-08-11","2020-08-17",6
"T92677.94","2020-08-11","2020-08-11","2020-08-17",6
"T92677.90","2020-08-07","2020-08-07","2020-08-13",6
"T92677.86","2020-07-23","2020-07-23","2020-07-29",6
"T92677.85","2020-07-23","2020-07-23","2020-07-29",6
"T92677.83","2020-07-20","2020-07-20","2020-07-26",6
"T92677.78","2020-07-13","2020-07-13","2020-07-19",6
"T92677.77","2020-07-07","2020-07-07","2020-07-13",6
"T92677.73","2020-06-17","2020-06-17","2020-06-23",6
"T92677.72","2020-06-15","2020-06-15","2020-06-21",6
"T92677.71","2020-06-09","2020-06-09","2020-06-25",16
"T92677.69","2020-06-04","2020-06-04","2020-06-10",6
"T92677.68","2020-06-04","2020-06-04","2020-06-10",6
"T92677.67","2020-05-26","2020-05-26","2020-07-11",46
"T92677.66","2020-05-22","2020-05-22","2020-07-23",62
"T92677.64","2020-05-22","2020-05-22","2020-05-28",6
"T86424.685","2020-09-10","2020-09-10","2020-09-14",4
"T86424.684","2020-09-10","2020-09-10","2020-09-14",4
"T131516.55","2020-08-05","2020-08-05","2020-08-09",4
"T86424.659","2020-09-01","2020-09-01","2020-09-05",4
"T86424.658","2020-09-01","2020-09-01","2020-09-05",4
"T86424.657","2020-09-01","2020-09-01","2020-09-05",4
"T92044.390","2020-08-13","2020-08-13","2020-08-17",4
"T92044.389","2020-08-13","2020-08-13","2020-08-17",4
"T92044.388","2020-08-13","2020-08-13","2020-08-17",4
"T92044.387","2020-08-12","2020-08-12","2020-08-16",4
"T92044.386","2020-08-12","2020-08-12","2020-08-16",4
"T92044.385","2020-08-12","2020-08-12","2020-08-16",4
"T92044.384","2020-08-12","2020-08-12","2020-08-16",4
"T92044.383","2020-08-12","2020-08-12","2020-08-16",4
"T92044.382","2020-08-12","2020-08-12","2020-08-16",4
"T92044.381","2020-08-12","2020-08-12","2020-08-16",4
"T92044.380","2020-08-12","2020-08-12","2020-08-16",4
"T92044.379","2020-08-12","2020-08-12","2020-08-16",4
"T92044.378","2020-08-12","2020-08-12","2020-08-16",4
"T92044.377","2020-08-12","2020-08-12","2020-08-16",4
"T92044.376","2020-08-12","2020-08-12","2020-08-16",4
"T92044.375","2020-08-12","2020-08-12","2020-08-16",4
"T92044.374","2020-08-12","2020-08-12","2020-08-16",4
"T92044.373","2020-08-12","2020-08-12","2020-08-16",4
"T92044.372","2020-08-12","2020-08-12","2020-08-16",4
"T92044.371","2020-08-12","2020-08-12","2020-08-16",4
"T92044.370","2020-08-12","2020-08-12","2020-08-16",4
"T92044.364","2020-08-07","2020-08-07","2020-08-11",4
"T92044.363","2020-08-07","2020-08-07","2020-08-11",4
"T92044.362","2020-08-07","2020-08-07","2020-08-11",4
"T92044.361","2020-08-07","2020-08-07","2020-08-11",4
"T92044.360","2020-08-07","2020-08-07","2020-08-11",4
"T92044.359","2020-08-07","2020-08-07","2020-08-11",4
"T92044.358","2020-08-07","2020-08-07","2020-08-11",4
"T92044.357","2020-08-07","2020-08-07","2020-08-11",4
"T92044.356","2020-08-07","2020-08-07","2020-08-11",4
"T92044.355","2020-08-07","2020-08-07","2020-08-11",4
"T92044.354","2020-08-07","2020-08-07","2020-08-11",4
"T92044.353","2020-08-07","2020-08-07","2020-08-11",4
"T92044.352","2020-08-07","2020-08-07","2020-08-11",4
"T92044.351","2020-08-07","2020-08-07","2020-08-11",4
"T92044.350","2020-08-07","2020-08-07","2020-08-11",4
"T92044.349","2020-08-07","2020-08-07","2020-08-11",4
"T92044.348","2020-08-07","2020-08-07","2020-08-11",4
"T92044.347","2020-08-07","2020-08-07","2020-08-11",4
"T92044.346","2020-08-07","2020-08-07","2020-08-11",4
"T92044.345","2020-08-07","2020-08-07","2020-08-11",4
"T92044.344","2020-08-07","2020-08-07","2020-08-11",4
"T92044.343","2020-08-07","2020-08-07","2020-08-11",4
"T131516.68","2020-08-07","2020-08-07","2020-08-11",4
"T131516.60","2020-08-05","2020-08-05","2020-08-09",4
"T131516.59","2020-08-05","2020-08-05","2020-08-09",4
"T131516.58","2020-08-05","2020-08-05","2020-08-09",4
"T131516.57","2020-08-05","2020-08-05","2020-08-09",4
"T131516.56","2020-08-05","2020-08-05","2020-08-09",4
"T131516.54","2020-08-05","2020-08-05","2020-08-09",4
"T131516.53","2020-08-05","2020-08-05","2020-08-09",4
"T131516.52","2020-08-05","2020-08-05","2020-08-09",4
"T131516.51","2020-08-05","2020-08-26","2020-08-09",-17
"T131516.50","2020-08-05","2020-08-05","2020-08-09",4
